Transaction ID,Date,Merchant Name,Description,Amount,Category Primary,Category Detailed,Account ID,Transaction Type,Created At,Review Notes,Is Subscription?,Is Recurring?
cb37b7e9-e6c6-3918-bf82-e4e5b0700dde,2026-10-28,AUTOPAY 999990000012756RAUTOPAY AUTO-PMT,AUTOPAY 999990000012756RAUTOPAY AUTO-PMT,2657.81,payment,payment,1dfe4c39-4d2b-44b3-9a2a-1cd50bb21e72,EXPENSE,2026-01-09T15:16:03.588131468Z,,,
787b212b-9384-3af5-9038-b0d883b8bcf3,2025-12-19,ONLINE TRANSFER TO CHK ...9994 TRANSACTION#: 12/19,Online Transfer to CHK ...9994 transaction#: 27398998006 12/19,-250.0,transfer,transfer,e5559a9e-188e-4c83-aed7-1974ca0294dc,EXPENSE,2026-01-09T15:16:35.438911094Z,,,
fe88e1bf-9100-30b7-9212-aaa02fec9536,2025-12-19,ONLINE TRANSFER TO CHK ...9994 TRANSACTION#: 12/19,Online Transfer to CHK ...9994 transaction#: 27390930759 12/19,-600.0,transfer,transfer,e5559a9e-188e-4c83-aed7-1974ca0294dc,EXPENSE,2026-01-09T15:16:35.498774219Z,,,
fdaae68c-7c1f-3746-a385-c656a602f5e5,2025-12-18,CHECK 176,CHECK 176,-450.0,transfer,transfer,e5559a9e-188e-4c83-aed7-1974ca0294dc,EXPENSE,2026-01-09T15:16:35.603459760Z,,,
71541eee-51cd-3022-9893-2a6aa25ca641,2025-12-18,PUGET SOUND ENER BILLPAY PPD ID:,PUGET SOUND ENER BILLPAY                    PPD ID: 0000000160,-286.18,utilities,utilities,e5559a9e-188e-4c83-aed7-1974ca0294dc,EXPENSE,2026-01-09T15:16:35.664166385Z,,,
0294e106-9199-3c1f-82aa-427cce4a771b,2025-12-18,WITHDRAWAL 12/18,WITHDRAWAL 12/18,-2000.0,cash,cash,e5559a9e-188e-4c83-aed7-1974ca0294dc,EXPENSE,2026-01-09T15:16:35.557181844Z,,,
5336459a-0f70-39be-92ce-eb80cfc8db7d,2025-12-17,AUTOPAY 999990000061086RAUTOPAY AUTO-PMT,AUTOPAY 999990000061086RAUTOPAY AUTO-PMT,2681.98,payment,payment,d9e9b150-b520-4997-87a5-de8dc2b4032e,EXPENSE,2026-01-09T15:15:48.231289336Z,,,
48f3d65b-5cf2-3421-96f2-44eab07926e9,2025-12-17,CITI AUTOPAY PAYMENT WEB ID: CITICARDAP,CITI AUTOPAY     PAYMENT    291883502120566 WEB ID: CITICARDAP,-2681.98,payment,payment,e5559a9e-188e-4c83-aed7-1974ca0294dc,EXPENSE,2026-01-09T15:16:35.722066594Z,,,
cf04db5f-a39a-36a4-8e05-22ca622e19b9,2025-12-15,CHASE CREDIT CRD AUTOPAY PPD ID:,CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224,-1746.59,payment,payment,e5559a9e-188e-4c83-aed7-1974ca0294dc,EXPENSE,2026-01-09T15:16:35.780701094Z,,,
c366c886-9ee5-39f3-bc19-4fc64703d6c2,2025-12-13,OFFER 04 PROMOTIONAL APR ENDED 12/12/25,OFFER 04 PROMOTIONAL APR ENDED 12/12/25,5741.18,other,other,d9e9b150-b520-4997-87a5-de8dc2b4032e,EXPENSE,2026-01-09T15:15:48.271997502Z,,,
428fae8b-25ba-3228-a26b-3ec72252d36b,2025-12-12,ONLINE TRANSFER TO CHK ...9994 TRANSACTION#: 12/12,Online Transfer to CHK ...9994 transaction#: 27295296155 12/12,-500.0,transfer,transfer,e5559a9e-188e-4c83-aed7-1974ca0294dc,EXPENSE,2026-01-09T15:16:35.886232761Z,,,
a600178e-d12b-338c-aa66-c0fbc9f6e3a7,2025-12-12,F353100AU00CHGDDA AUTOMATIC PAYMENT - THANK YOU,F353100AU00CHGDDA AUTOMATIC PAYMENT - THANK YOU,405.59,payment,payment,6f8d92b8-c9fc-48e4-a3eb-0a748d8a1573,EXPENSE,2026-01-09T15:16:08.839891804Z,,,
a59b490f-3f92-3d25-9fac-b3020bff82f0,2025-12-10,CHASE CREDIT CRD AUTOPAY PPD ID:,CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224,-377.32,payment,payment,e5559a9e-188e-4c83-aed7-1974ca0294dc,EXPENSE,2026-01-09T15:16:35.945048094Z,,,
96c56cdc-c15e-3536-840c-706accc8a83e,2025-12-09,AMZ_STORECRD_PMT PAYMENT WEB ID:,AMZ_STORECRD_PMT PAYMENT    604578162822612 WEB ID: 9130142001,-124.93,payment,payment,e5559a9e-188e-4c83-aed7-1974ca0294dc,EXPENSE,2026-01-09T15:16:36.112382719Z,,,
2858f653-ce70-3e58-919e-504b3901e9be,2025-12-09,CHECK 175,CHECK 175,-5203.0,transfer,transfer,e5559a9e-188e-4c83-aed7-1974ca0294dc,EXPENSE,2026-01-09T15:16:36.050591136Z,,,
d4abaa25-40b3-36b7-b919-9d26a4912a5e,2025-12-08,DISCOVER E-PAYMENT WEB ID:,DISCOVER         E-PAYMENT  2364            WEB ID: 3510020270,-23.35,payment,payment,e5559a9e-188e-4c83-aed7-1974ca0294dc,EXPENSE,2026-01-09T15:16:36.217455177Z,,,
5c15536a-8c23-3bfb-a08c-837e330a76d8,2025-12-08,CHECK 173,CHECK 173,-2000.0,transfer,transfer,e5559a9e-188e-4c83-aed7-1974ca0294dc,EXPENSE,2026-01-09T15:16:36.159563844Z,,,
938145c2-5709-3c70-a8a3-318653bf476f,2025-12-07,AGARWAL SUMIT KUMAR Platinum Digital Entertainment Credit D J*BARRONS,AGARWAL SUMIT KUMAR Platinum Digital Entertainment Credit D J*BARRONS,4.41,education,education,33170ec5-8f03-4cc9-b524-28a257508beb,EXPENSE,2026-01-09T15:15:54.986940047Z,,,
376007ec-d716-34f6-9b3e-d65ad7158544,2025-12-05,SAFE DEPOSIT BOX 001265-0 ANNUAL RENT,SAFE DEPOSIT BOX 740618 001265-0 ANNUAL RENT,-126.0,fee,fee,e5559a9e-188e-4c83-aed7-1974ca0294dc,EXPENSE,2026-01-09T15:16:36.273269552Z,,,
f9889059-89d1-3311-b473-8a8668c4024b,2025-12-04,AGARWAL SUMIT KUMAR Platinum Walmart+ Credit WMT PLUS Dec 2025 02737,AGARWAL SUMIT KUMAR Platinum Walmart+ Credit WMT PLUS Dec 2025 02737,14.27,groceries,groceries,33170ec5-8f03-4cc9-b524-28a257508beb,EXPENSE,2026-01-09T15:15:54.966583005Z,,,
a4609756-1bd9-3a5a-8ef8-6ea211854ffd,2025-12-01,WITHDRAWAL 12/01,WITHDRAWAL 12/01,-3500.0,cash,cash,e5559a9e-188e-4c83-aed7-1974ca0294dc,EXPENSE,2026-01-09T15:16:36.454925511Z,,,
c6a0d347-1be1-3b04-9dc1-eb2fc1fd4ac8,2025-12-01,JPMORGAN CHASE CHASE ACH PPD ID:,JPMORGAN CHASE   CHASE ACH                  PPD ID: 1000008113,-4623.37,payment,payment,e5559a9e-188e-4c83-aed7-1974ca0294dc,EXPENSE,2026-01-09T15:16:36.514649719Z,,,
